epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.227,2.11275,2.99263,1.84603,0.01585,0.67007,0.062,0.03835,1.21924,2.75722,1.24291,8.574e-05,8.574e-05,8.574e-05
2,36.1981,1.13166,2.56582,1.21539,0.23954,0.18011,0.2675,0.19594,0.6949,1.95454,0.9288,0.000183931,0.000183931,0.000183931
3,53.5475,0.67864,1.95554,0.98441,0.95139,0.28344,0.32954,0.28973,0.54939,1.25955,0.85741,0.000280141,0.000280141,0.000280141
4,71.2781,0.59786,1.45053,0.9408,0.98708,0.30009,0.34916,0.3125,0.50292,0.91229,0.8317,0.000374371,0.000374371,0.000374371
5,89.1607,0.52845,1.0327,0.89833,0.75392,0.39866,0.41508,0.33494,0.49765,0.84643,0.82213,0.00046662,0.00046662,0.00046662
6,107.121,0.53799,0.79867,0.91449,0.88278,0.55069,0.56556,0.41034,0.48009,0.86693,0.81319,0.000556888,0.000556888,0.000556888
7,124.957,0.50419,0.66353,0.89779,0.93547,0.6312,0.60386,0.43701,0.47195,0.67797,0.80443,0.000645176,0.000645176,0.000645176
8,142.457,0.46935,0.6151,0.88721,0.93928,0.63199,0.60832,0.43554,0.47115,0.61873,0.80078,0.000731484,0.000731484,0.000731484
9,159.727,0.47057,0.55573,0.88104,0.93048,0.62281,0.62381,0.4565,0.44533,0.57336,0.79879,0.00081581,0.00081581,0.00081581
10,177.182,0.45272,0.55629,0.87568,0.95769,0.60158,0.62921,0.46211,0.44012,0.55137,0.79867,0.000898157,0.000898157,0.000898157
11,194.403,0.44626,0.50748,0.85264,0.96847,0.63199,0.63574,0.48698,0.39037,0.44711,0.78161,0.000978522,0.000978522,0.000978522
12,211.689,0.43134,0.4819,0.8659,0.98024,0.62136,0.89722,0.7246,0.3978,0.40647,0.78521,0.00105691,0.00105691,0.00105691
13,229.973,0.43093,0.47299,0.8605,0.86986,0.82594,0.93436,0.75085,0.38399,0.37755,0.78025,0.00113331,0.00113331,0.00113331
14,251.329,0.41598,0.45208,0.86326,0.91825,0.91111,0.95487,0.76273,0.38262,0.37311,0.77896,0.00120774,0.00120774,0.00120774
15,271.595,0.4065,0.42713,0.85088,0.9322,0.9001,0.97023,0.82093,0.33564,0.3453,0.76799,0.00123094,0.00123094,0.00123094
16,293.019,0.41873,0.41002,0.859,0.94126,0.91941,0.9734,0.79366,0.35288,0.32168,0.77265,0.00121679,0.00121679,0.00121679
17,314.3,0.41361,0.4002,0.84629,0.97549,0.92566,0.9708,0.779,0.35307,0.31631,0.77414,0.00120265,0.00120265,0.00120265
18,334.545,0.39542,0.39457,0.85009,0.96558,0.9369,0.97888,0.7813,0.37219,0.32122,0.77708,0.0011885,0.0011885,0.0011885
19,356.065,0.41334,0.40506,0.86447,0.94705,0.92694,0.9856,0.80335,0.34296,0.29533,0.77207,0.00117435,0.00117435,0.00117435
20,375.971,0.38546,0.36485,0.85008,0.97274,0.94444,0.9865,0.81866,0.34488,0.27409,0.76971,0.00116021,0.00116021,0.00116021
21,396.553,0.38765,0.34473,0.84662,0.98734,0.94444,0.98525,0.82696,0.33862,0.28145,0.76817,0.00114606,0.00114606,0.00114606
22,418.156,0.38125,0.32972,0.85173,0.91219,1,0.98873,0.82758,0.32634,0.26696,0.76511,0.00113191,0.00113191,0.00113191
23,438.956,0.37935,0.33295,0.8444,0.94084,0.95163,0.9876,0.83559,0.34752,0.28035,0.77088,0.00111776,0.00111776,0.00111776
24,462.6,0.37892,0.33045,0.84033,0.96848,0.94444,0.98517,0.84632,0.32023,0.25702,0.76387,0.00110362,0.00110362,0.00110362
25,486.282,0.36464,0.30461,0.84965,0.97065,0.9505,0.98736,0.84969,0.33295,0.25926,0.76594,0.00108947,0.00108947,0.00108947
26,504.416,0.3485,0.30553,0.85239,0.91988,0.9355,0.99003,0.84975,0.31234,0.25683,0.76246,0.00107532,0.00107532,0.00107532
27,521.952,0.36233,0.30611,0.84443,0.91895,0.94864,0.98984,0.84059,0.32637,0.2575,0.76244,0.00106118,0.00106118,0.00106118
28,539.246,0.35994,0.30876,0.83834,0.96881,0.96667,0.99176,0.85956,0.32595,0.26271,0.76521,0.00104703,0.00104703,0.00104703
29,557.252,0.35619,0.29934,0.83534,0.97586,0.96906,0.99265,0.8594,0.31316,0.25317,0.76445,0.00103288,0.00103288,0.00103288
